LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,rollout_pre_collision_stop,collision_failure,trial_config
200,0.1,1.0,6,random_same,static,False,65.61054809154349,0.7489604185830795,42,132.20660705599948,3.147776358476178,False,True,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1892595352315412,67,187.3386849189992,2.7960997749104357,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1592359060970026,63,187.81983384600244,2.9812672039048005,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1899157919622914,66,189.80427778299781,2.875822390651482,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.169955137861625,68,201.36948227299945,2.961315915779404,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.169860795550738,68,213.96018571400054,3.1464733193235372,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1678257174295654,75,222.18407016999845,2.9624542689333127,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1874479649836727,77,226.92511061299956,2.947079358610384,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.185964735545031,79,235.98010938900188,2.9870899922658465,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1674210988350822,80,236.26407598600053,2.9533009498250067,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.175759291274421,84,244.14039838400276,2.906433314095271,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1628215559617872,86,255.267085812,2.968221928046512,False,False,trial_60
200,0.1,1.0,6,random_same,static,True,100.0,1.1880866591609993,99,263.90601372999663,2.6657173104040064,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1809407492685073,103,272.44710844899964,2.645117557757278,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1890209827463079,91,273.62586250499953,3.00687760994505,False,False,trial_51
200,0.1,1.0,6,random_same,static,True,100.0,1.1739963090026722,109,283.40359681100017,2.6000329982660566,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1775388689301725,114,283.80708272599804,2.4895358133859475,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1634814804579328,107,300.9423323580013,2.812545162224311,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.0527384024060353,110,313.43303067300076,2.8493911879363707,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1892089456113957,106,314.45184092400086,2.9665268011698194,False,False,trial_45
200,0.1,1.0,6,random_same,static,True,100.0,1.1012193087664635,107,315.31731650599977,2.9468908084672876,False,False,trial_45
200,0.1,1.0,6,random_same,static,False,69.89583194473181,0.7281338096637799,12,38.43798724800217,3.2031656040001812,False,True,trial_46
200,0.1,1.0,6,random_same,static,True,100.0,1.185756120833787,120,333.94899382600124,2.7829082818833437,False,False,trial_51
