LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action,trial_config
100,0.1,1.0,6,random,static,True,100.0,6.889963722017843,91,108.05283414299993,1.187393781791208,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.930758585996189,89,116.37697584900161,1.3076064702135013,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9183239183239085,93,118.15690985400033,1.2705044070322615,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000002,99,118.19775784299964,1.1939167458888853,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.904096152295959,94,118.37547705299949,1.2593135856702073,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,89,118.7519454559988,1.3342915219775144,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.94296507170795,102,118.9478198249999,1.1661550963235283,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9423573455286025,99,119.14185955600078,1.2034531268282906,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,89,120.79138054500072,1.357206522977536,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.942405085181359,95,124.9589902380012,1.31535779197896,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,99,125.57161525599986,1.2684001541010086,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,102,126.52560102799907,1.2404470689019518,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949998993398582,94,126.71035552400099,1.3479825055744785,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,100,126.87673640700086,1.2687673640700086,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949922460418996,101,131.95009079699958,1.3064365425445503,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940382605676605,102,135.91020052399836,1.3324529463137094,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949117806459026,107,145.53696274600043,1.3601585303364525,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,118,148.01568723200035,1.254370230779664,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.760897750895882,200,151.55777872599901,0.757788893629995,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.945765198183777,143,204.2639237479998,1.4284190471888099,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333334,200,210.1191212419999,1.0505956062099995,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.345733036807661,200,215.80877819299894,1.0790438909649946,trial_0
100,0.1,1.0,6,random,static,False,98.92758152977491,6.443441725526502,200,222.32493553899985,1.1116246776949992,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,80,103.42445338799916,1.2928056673499895,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333334,200,225.95290917200145,1.1297645458600072,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,80,104.51615160199981,1.3064518950249977,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940082500900736,97,113.02828884200062,1.1652400911546457,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,85,114.0632282000006,1.3419203317647128,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.311163778921978,200,235.2164102860006,1.176082051430003,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,85,111.06775945900154,1.306679523047077,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940082500900736,97,120.80117429500024,1.245372930876291,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,74,105.99511547600014,1.4323664253513533,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.788505750749034,200,244.92165136099902,1.2246082568049952,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940082500900736,97,131.1807858309985,1.3523792353711186,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.942406947882267,104,133.2973016779997,1.2817048238269204,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9183239183239085,93,127.44824151300054,1.370411199064522,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.3690375358204685,200,255.36433736900108,1.2768216868450053,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940382605676605,102,132.47489350700016,1.2987734657549035,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949922460418996,101,144.3381858419998,1.429090948930691,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,95,120.79813516099966,1.271559317484207,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000001,200,270.24185724200106,1.3512092862100054,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000001,200,271.40366121400075,1.3570183060700038,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000002,200,275.25410288999956,1.3762705144499978,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.944647441408383,101,130.26804586100116,1.2897826322871402,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,289.7981461010004,1.4489907305050018,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370816887957753,200,296.02904678699997,1.4801452339349999,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000002,124,159.5355563760004,1.2865770675483903,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.918070384343583,83,107.22875795400068,1.2919127464337432,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.889963722017843,91,107.03463728400129,1.1762048053186955,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370738745994688,200,223.12658225999985,1.1156329112999992,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370738745994688,200,223.9958850389994,1.119979425194997,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.940694421437872,101,126.20935557899975,1.2495975799900965,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9481697185434355,101,146.96484382500057,1.455097463613867,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,95,121.58064619000106,1.2797962756842216,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949986484922356,97,117.79623274500045,1.2143941520103139,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.760897750895882,200,149.63526220099993,0.7481763110049997,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,95,124.99201768899911,1.3157054493578855,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.946976518157377,83,108.32593446200008,1.305131740506025,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.212500000000001,200,254.94007824899927,1.2747003912449963,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,74,106.58639907299948,1.4403567442297227,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,95,124.60125862200039,1.3115921960210568,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,95,130.24795640000048,1.371031120000005,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.936582225977773,92,107.04632400999981,1.1635470001086936,trial_0
100,0.1,1.0,6,random,static,False,66.66666666666667,4.633333333333333,200,246.072969507999,1.230364847539995,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949042632483783,93,129.537750468,1.3928790372903228,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.902106947506362,102,129.24894635300006,1.2671465328725497,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,95,141.62406286199985,1.4907796090736827,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,95,135.89086241900077,1.4304301307263239,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949800061289725,136,165.7485590340002,1.2187394046617663,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,95,124.04148866499963,1.3056998806842066,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.923411968094617,93,119.13393611900028,1.281010065795702,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,95,126.6955451649992,1.3336373175263074,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370833333333333,200,217.2033440790001,1.0860167203950004,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,98,128.79086763399937,1.3141925268775445,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.947893730448266,87,104.14010211200002,1.1970126679540232,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948343125985003,90,112.16152141599923,1.246239126844436,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,110,142.2926065979991,1.293569150890901,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,86,111.79324525499942,1.2999214564534816,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.926863908619092,155,192.85066891300085,1.244197863954844,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.914506544083025,86,116.49543106000056,1.3545980355814018,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,104,132.33597187099986,1.2724612679903833,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.893125517018311,87,117.47269604699977,1.3502608741034456,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.933636553113968,99,123.82003832200098,1.2507074577979898,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948343125985003,90,135.58535032800137,1.5065038925333485,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,104,138.29636044000108,1.329772696538472,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,75,103.02864296799999,1.3737152395733332,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949922167483955,96,128.36511212499863,1.3371365846354024,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,265.89115014600065,1.3294557507300033,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.918709024923699,105,130.78118132300006,1.2455350602190483,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.906779456020465,96,123.40235705900159,1.2854412193645999,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,97,133.09329233899916,1.3720957973092698,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.933636553113968,99,134.1765695260001,1.355318884101011,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.370829098696778,200,246.99662144399917,1.234983107219996,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,100,120.55904755700067,1.2055904755700066,trial_0
100,0.1,1.0,6,random,static,False,83.33333333333334,5.786418693496239,200,260.25090914000066,1.3012545457000033,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,86,106.55864191499859,1.2390539757557975,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000003,109,147.62602457699904,1.3543671979541196,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.37080981724872,200,296.45361351800057,1.4822680675900028,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,97,127.7220652140004,1.3167223217938184,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.948327799838333,98,134.07890255999882,1.3681520669387635,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.369526303129089,200,229.44118676400103,1.1472059338200051,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.369526303129089,200,225.9397473150002,1.129698736575001,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.926863908619092,155,189.3269056829995,1.2214639076322549,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949210033937108,102,123.22061210499851,1.2080452167156717,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.926863908619092,155,180.5221031660003,1.1646587301032278,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9474357676377965,100,128.7750069550002,1.2877500695500022,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.859165375904501,97,118.20808457199928,1.218640047134013,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,93,119.17666792700038,1.2814695476021547,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949980293355516,99,141.94525725899985,1.4337904773636347,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2124999999999995,200,241.5056570789984,1.207528285394992,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,103,127.91553405900049,1.241898388922335,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,110,145.19136287399851,1.3199214806727138,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949210033937108,102,129.76806598900112,1.2722359410686384,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,118,157.1249440899992,1.3315673227966034,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.946645601890377,101,122.40612780800075,1.2119418594851559,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.833731424359688,100,151.4719065240006,1.5147190652400058,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,95,126.23906826699931,1.3288322975473612,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,98,130.35911013200166,1.3301950013469557,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2125,200,284.5787989110013,1.4228939945550065,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2124999999999995,200,240.3787549910012,1.201893774955006,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949978978266515,89,121.0308785770012,1.3598975121011372,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.946645601890377,101,122.93232695699953,1.2171517520495003,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000002,94,116.1635848370006,1.2357828174149,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,117,180.9170816320002,1.5462998430085486,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,100,123.85564744800104,1.2385564744800104,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,85,117.87554466199981,1.386771113670586,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.3707922213928345,200,220.68254860699926,1.1034127430349963,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.930732897927782,95,112.74259402499956,1.1867641476315742,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499999999999975,85,112.89308526199966,1.3281539442588195,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,100,131.27096596000047,1.3127096596000047,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2124999999999995,200,260.50548364800125,1.3025274182400062,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.358456688469442,200,233.9232778429996,1.169616389214998,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000001,78,102.78588626400051,1.3177677726153911,trial_0
100,0.1,1.0,6,random,static,False,75.0,5.2124999999999995,200,256.5089086459993,1.2825445432299967,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.950000000000002,94,127.55944318099864,1.3570153529893472,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.369890099253425,200,224.50092482199943,1.1225046241099972,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,97,120.53039319500022,1.242581373144332,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.914768043809879,95,126.57932093900126,1.332413904621066,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,77,101.02997882400086,1.3120776470649462,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,100,125.92206384900055,1.2592206384900055,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.938575902234909,88,128.84642213500047,1.4641638878977326,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.95,95,145.53836699800013,1.5319828105052644,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.947752930794983,102,132.173507857,1.2958187044803922,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949980223391831,78,100.13973247800095,1.2838427240769352,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.358456688469442,200,221.49684174399954,1.1074842087199976,trial_0
100,0.1,1.0,6,random,static,False,91.66666666666666,6.358456688469442,200,238.13299362199905,1.1906649681099952,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.9499956130038285,108,139.02064502099893,1.287228194638879,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999999,97,137.5808862190006,1.4183596517422743,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949999999999998,100,141.48343900299915,1.4148343900299916,trial_0
100,0.1,1.0,6,random,static,True,100.0,6.949808685224014,90,101.86111627699938,1.1317901808555486,trial_0
